,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
1436,Kepler-226 c,64.5134,983.1,2014,3318.191
1437,Kepler-226 d,34.6402,855.9,2014,3318.191
1438,Kepler-227 b,88.0306,995.4,2014,4828.2882
1439,Kepler-227 c,86.1238,556.1,2014,4828.2882
1440,Kepler-228 b,43.2208,1531.8,2014,5662.457
1441,Kepler-228 c,76.5898,1306.7,2014,5662.457
1442,Kepler-228 d,114.408,940.3,2014,5662.457
1443,Kepler-229 b,62.2888,817.2,2014,3094.0986
1444,Kepler-229 c,139.5142,596.6,2014,3094.0986
1445,Kepler-229 d,109.0054,435.9,2014,3094.0986
1446,Kepler-23 b,53.7082,1251,2014,2818.8568
1447,Kepler-23 c,90.573,1090.1,2014,2818.8568
1448,Kepler-23 d,62.2888,1007.2,2014,2818.8568
1449,Kepler-230 b,120.764,544.8,2014,2916.07
1450,Kepler-230 c,57.8396,385.9,2014,2916.07
1451,Kepler-231 b,48.9412,420.9,2014,913.8106
1452,Kepler-231 c,54.6616,339,2014,913.8106
1453,Kepler-232 b,87.395,1207.1,2014,4313.2408
1454,Kepler-232 c,108.6876,881.5,2014,4313.2408
1455,Kepler-233 b,68.9626,788.9,2014,2801.97
1456,Kepler-233 c,76.9076,409.9,2014,2801.97
1457,Kepler-234 b,104.874,1622.9,2014,6088.3108
1458,Kepler-234 c,99.4714,1171.3,2014,6088.3108
1459,Kepler-235 b,63.2422,730.2,2014,1713.0648
1460,Kepler-235 c,36.2292,549.8,2014,1713.0648
1461,Kepler-235 d,58.1574,401.7,2014,1713.0648
1462,Kepler-235 e,62.9244,304.2,2014,1713.0648
1463,Kepler-236 b,44.492,455.9,2014,955.2126
1464,Kepler-236 c,56.5684,320.1,2014,955.2126
1465,Kepler-237 b,40.0428,850.7,2014,2154.045
1466,Kepler-237 c,59.1108,710.2,2014,2154.045
1467,Kepler-238 b,48.9412,1853.5,2014,5411.111
1468,Kepler-238 c,67.6914,1293.3,2014,5411.111
1469,Kepler-238 d,87.0772,1002,2014,5411.111
1470,Kepler-239 b,66.1024,650.5,2014,2231.796
1471,Kepler-239 c,71.1872,386.1,2014,2231.796
1472,Kepler-24 c,79.45,890.6,2014,4766.2504
1473,Kepler-24 d,47.3522,1425.1,2014,4766.2504
1474,Kepler-24 e,78.8144,864.7,2014,4766.2504
1475,Kepler-240 b,38.7716,919.5,2014,2739.2802
1476,Kepler-240 c,62.2888,739.9,2014,2739.2802
1477,Kepler-241 b,66.1024,567,2014,1942.0146
1478,Kepler-241 c,72.7762,400.6,2014,1942.0146
1479,Kepler-242 b,74.0474,790.9,2014,2803.437
1480,Kepler-242 c,56.5684,654.2,2014,2803.437
1481,Kepler-243 b,69.5982,924.7,2014,2635.384
1482,Kepler-243 c,56.5684,608.8,2014,2635.384
1483,Kepler-244 b,78.1788,1053.8,2014,3600.7352
1484,Kepler-244 c,58.1574,802.4,2014,3600.7352
1485,Kepler-244 d,65.4668,631.4,2014,3600.7352
1486,Kepler-245 b,72.7762,801,2014,2998.9392
1487,Kepler-245 c,61.6532,604.1,2014,2998.9392
1488,Kepler-245 d,85.806,473.4,2014,2998.9392
