Planet,Earth_Masses,Temperature_Kelvin,Year
HD 38801 b,3181.178,299.1,2010
HD 39091 b,3205.9664,280.5,2001
HD 40307 b,4.1314,1015.1,2008
HD 40307 c,6.6738,776.9,2008
HD 40307 d,8.8984,604.1,2008
HD 4113 b,523.7344,809,2007
HD 4203 b,661.6596,395.1,2001
HD 4208 b,256.4646,201.9,2001
HD 4308 b,15.2544,721.3,2005
HD 4313 b,690.2616,465.9,2010
HD 43197 b,189.7266,735.4,2009
HD 43691 b,793.5466,760.3,2007
HD 44219 b,187.1842,475.9,2009
HD 45350 b,583.4808,447.7,2004
HD 45364 b,59.4286,352.3,2009
HD 45364 c,209.4302,294.6,2009
HD 45652 b,148.7304,725.8,2008
HD 47186 b,22.5638,1329,2008
HD 47186 c,110.5944,217.3,2008
HD 4732 b,755.4106,553.1,2012
HD 4732 c,751.597,299.3,2012
HD 49674 b,32.4156,1127.6,2002
HD 50499 b,554.561,187.3,2005
HD 50554 b,1398.0022,285.3,2002
HD 52265 b,340.3638,585.3,2000
HD 5319 b,560.917,366.7,2007
HD 5319 c,365.47,353.5,2014
HD 5608 b,468.4372,437.9,2012
HD 5891 b,1661.4584,1038.2,2011
HD 60532 b,328.923,609.4,2008
HD 60532 c,782.7414,362.1,2008
HD 63454 b,122.353,1319.2,2005
HD 63765 b,204.6632,305.9,2009
HD 6434 b,126.1666,734.1,2000
HD 65216 b,386.4448,285.5,2003
HD 66428 b,873.95,211.7,2006
HD 67087 b,984.5444,400.9,2015
HD 6718 b,495.4502,151.5,2009
HD 68988 b,572.04,1229.5,2001
HD 69830 b,10.1696,935.2,2006
HD 69830 c,11.7586,618.3,2006
HD 69830 d,17.7968,324.8,2006
HD 70642 b,606.6802,159.4,2003
HD 7199 b,93.751,261.4,2011
HD 72659 b,1008.6972,171.8,2002
HD 73256 b,593.9682,1579.6,2003
HD 73267 b,973.4214,216.5,2008
HD 73526 b,907.6368,448.8,2002
HD 73526 c,769.3938,345.4,2006
HD 73534 b,339.4104,239.9,2009
HD 74156 b,563.4594,1033.1,2003
HD 74156 c,2620.8966,218.2,2003
HD 7449 b,417.2714,436.8,2011
HD 75784 b,1779.68,211.8,2014
HD 75898 b,799.267,348.9,2007
